Name;Team;Pos;Height;Weight;BMI;Birth_Place;Birthdate;Age;College;allStar;Games Played;MIN;REB;AST;STL;PTS
Aerial Powers;DAL;F;183;71;21.20099137;US;January 17, 1994;23;Michigan State;false;8;173;28;12;3;93
Alana Beard;LA;G/F;185;73;21.32943755;US;May 14, 1982;35;Duke;true;30;947;101;72;63;217
Alex Bentley;CON;G;170;69;23.87543253;US;October 27, 1990;26;Penn State;false;26;617;40;78;22;218
Alex Montgomery;SAN;G/F;185;84;24.54346238;US;December 11, 1988;28;Georgia Tech;true;31;721;169;65;20;188
Alexis Jones;MIN;G;175;78;25.46938776;US;August 5, 1994;23;Baylor;false;24;137;12;12;7;50
Alexis Peterson;SEA;G;170;63;21.79930796;US;June 20, 1995;22;Syracuse;true;14;90;16;11;5;26
Alexis Prince;PHO;G;188;81;22.91760978;US;February 5, 1994;23;Baylor;false;16;112;15;5;4;24
Allie Quigley;CHI;G;178;64;20.19946976;US;June 20, 1986;31;DePaul;true;26;847;92;95;20;442
Allisha Gray;DAL;G;185;76;22.20598977;US;October 20, 1992;24;South Carolina;false;30;834;127;40;47;395
Allison Hightower;WAS;G;178;77;24.30248706;US;June 4, 1988;29;LSU;true;7;103;10;10;5;36
Alysha Clark;SEA;F;180;76;23.45679012;US;July 7, 1987;30;Middle Tennessee;false;30;843;126;50;22;244
Alyssa Thomas;CON;F;188;84;23.76641014;US;December 4, 1992;24;Maryland;false;28;833;192;136;48;399
Amanda Zahui B.;NY;C;196;113;29.41482716;SE;August 9, 1993;24;Minnesota;false;25;133;23;7;4;51
Amber Harris;CHI;F;196;88;22.90712203;US;January 16, 1988;29;Xavier;true;22;146;40;5;3;41
Aneika Henry;ATL;F/C;193;87;23.35633171;JM;February 13, 1986;31;Florida;true;4;22;4;1;2;8
Angel Robinson;PHO;F/C;198;88;22.44668911;US;August 30, 1995;21;Arizona State;false;15;237;58;8;1;58
Asia Taylor;WAS;F;185;76;22.20598977;US;August 22, 1991;26;Louisville;true;20;128;37;9;5;31
Bashaara Graves;CHI;F;188;91;25.74694432;US;March 17, 1994;23;Tennessee;false;5;59;17;3;0;19
Breanna Lewis;DAL;C;196;93;24.20866306;US;June 22, 1994;23;Kansas State;true;12;50;9;2;0;7
Breanna Stewart;SEA;F/C;193;77;20.67169588;US;August 27, 1994;22;Connecticut;true;29;952;249;78;29;584
Bria Hartley;NY;G;173;66;22.05219018;US;September 30, 1992;24;Connecticut;false;29;598;57;58;15;217
Bria Holmes;ATL;G;185;77;22.49817385;US;April 19, 1994;23;West Virginia;true;28;655;85;52;23;235
Briann January;IND;G;173;65;21.71806609;US;November 1, 1987;29;Arizona State;true;25;657;37;98;23;238
Brionna Jones;CON;F;191;104;28.50799046;US;December 18, 1995;21;Maryland;false;19;112;25;2;7;44
Brittany Boyd;NY;G;175;71;23.18367347;US;November 6, 1993;23;UC Berkeley;true;2;32;8;5;3;26
Brittney Griner;PHO;C;206;93;21.91535489;US;October 18, 1990;26;Baylor;true;22;682;172;39;13;461
Brittney Sykes;ATL;G;175;66;21.55102041;US;July 2, 1994;23;Rutgers;true;30;734;119;59;18;397
Camille Little;PHO;F;188;82;23.20054323;US;January 18, 1985;32;North Carolina;true;30;759;113;42;28;228
Candace Parker;LA;F/C;193;79;21.20862305;US;April 19, 1986;31;Tennessee;true;29;889;242;127;43;494
Candice Dupree;IND;F;188;81;22.91760978;US;February 25, 1984;33;Temple;true;29;911;155;47;28;435
Cappie Pondexter;CHI;G;175;73;23.83673469;US;July 1, 1983;34;Rutgers;true;24;676;69;104;17;250
Carolyn Swords;SEA;C;198;95;24.2322212;US;July 19, 1989;28;Boston College;false;26;218;39;9;5;54
Cayla George;PHO;C;193;87;23.35633171;AU;April 20, 1987;30;Georgia;false;28;365;81;15;9;100
Chelsea Gray;LA;G;180;77;23.7654321;US;August 10, 1992;25;Duke;false;30;996;99;132;29;456
Cheyenne Parker;CHI;F;193;86;23.08786813;US;August 22, 1992;25;Middle Tennessee;false;23;286;78;13;8;87
Clarissa dos Santos;SAN;C;185;89;26.00438276;BR;October 3, 1988;28;Brazil;true;7;52;10;7;1;17
Courtney Paris;DAL;C;193;113;30.33638487;US;September 21, 1987;29;Oklahoma;false;16;217;62;5;6;70
Courtney Vandersloot;CHI;G;173;66;22.05219018;US;August 2, 1989;28;Gonzaga;true;22;673;88;175;22;255
Courtney Williams;CON;G;173;62;20.71569381;US;November 5, 1994;22;South Florida;false;29;755;122;60;15;375
Crystal Langhorne;SEA;F/C;188;84;23.76641014;US;October 27, 1986;30;Maryland;false;30;848;175;46;16;370
Damiris Dantas;ATL;C;191;89;24.39626107;BR;November 17, 1992;24;Brazil;true;30;569;113;19;17;254
Danielle Adams;CON;F/C;185;108;31.5558802;US;February 19, 1989;28;Texas A&M;false;18;81;10;4;4;49
Danielle Robinson;PHO;G;175;57;18.6122449;US;October 5, 1989;27;Oklahoma;false;28;680;86;106;33;209
Dearica Hamby;SAN;F;191;86;23.57391519;US;June 11, 1993;24;Wake Forest;false;31;650;139;32;29;253
Devereaux Peters;IND;F;188;79;22.35174287;US;August 10, 1989;28;Notre Dame;false;28;796;77;76;16;514
Diana Taurasi;PHO;G;183;74;22.09680791;US;November 6, 1982;34;Connecticut;true;20;591;129;32;20;376
Elena Delle Donne;WAS;G/F;196;85;22.12619742;US;May 9, 1989;28;Delaware;false;30;939;215;43;32;317
Elizabeth Williams;ATL;F/C;191;87;23.84803048;US;June 23, 1993;24;Duke;false;30;377;96;5;5;128
Emma Cannon;PHO;F;188;86;24.33227705;US;January 6, 1989;28;Central Florida;true;18;508;105;52;21;252
Emma Meesseman;WAS;C;193;83;22.28247738;BE;May 13, 1993;24;Belgium;false;23;617;81;70;34;259
Epiphanny Prince;NY;G;175;81;26.44897959;US;November 1, 1988;28;Rutgers;true;26;282;61;5;4;88
Erica Wheeler;IND;G;170;65;22.49134948;US;February 5, 1991;26;Rutgers;false;30;767;68;117;38;336
rika de Souza;SAN;C;196;86;22.38650562;BR;September 3, 1982;34;Brazil;false;30;579;132;35;18;159
Erlana Larkins;IND;F;185;93;27.17311907;US;February 4, 1986;31;North Carolina;true;20;386;35;24;11;102
Essence Carson;LA;G/F;183;74;22.09680791;US;July 28, 1986;31;Rutgers;true;15;61;9;0;1;13
Evelyn Akhator;DAL;F;191;82;22.47745402;NG;March 2, 1995;22;Kentucky;false;30;926;272;50;37;442
Glory Johnson;DAL;F;191;77;21.10687755;US;July 27, 1990;27;Tennessee;false;4;42;3;1;0;9
Imani Boyette;ATL;C;201;88;21.78163907;US;November 10, 1992;24;Texas;false;29;410;118;14;9;127
Isabelle Harrison;SAN;C;191;83;22.75156931;US;September 27, 1993;23;Kentucky;false;31;832;200;46;26;364
Ivory Latta;WAS;G;168;63;22.32142857;US;September 25, 1984;32;North Carolina;true;29;499;27;49;12;245
Jantel Lavender;LA;C;193;84;22.55094096;US;December 11, 1988;28;Ohio State;true;28;481;87;28;8;200
Jasmine Thomas;CON;G;175;66;21.55102041;US;September 30, 1989;27;Duke;false;27;762;64;118;45;391
Jazmon Gwathmey;IND;G;188;65;18.39067451;PR;January 24, 1993;24;James Madison;true;24;371;49;17;13;142
Jeanette Pohlen;IND;G;183;78;23.29122996;US;February 5, 1989;28;Stanford;false;25;278;22;13;5;70
Jennifer Hamson;IND;C;201;95;23.51426945;US;January 23, 1992;25;Brigham Young;true;10;50;11;6;2;12
Jessica Breland;CHI;F;191;77;21.10687755;US;February 23, 1988;29;North Carolina;true;10;78;18;2;1;22
Jewell Loyd;SEA;G;178;67;21.14631991;US;May 10, 1993;24;Notre Dame;true;29;715;189;46;18;268
Jia Perkins;MIN;G;173;75;25.05930703;US;February 23, 1982;35;Texas Tech;true;30;932;96;103;41;517
Jonquel Jones;CON;F/C;198;86;21.93653709;BS;May 1, 1994;23;George Washington;true;29;463;57;39;30;116
Jordan Hooper;CHI;F;188;84;23.76641014;US;February 20, 1992;25;Nebraska;false;29;833;334;40;29;467
Kaela Davis;DAL;G;188;77;21.78587596;US;March 15, 1995;22;South Carolina;true;23;208;22;5;7;77
Kahleah Copper;CHI;G/F;185;70;20.45288532;US;August 28, 1994;22;Rutgers;false;29;475;43;32;13;185
Kaleena Mosqueda-Lewis;SEA;F;180;82;25.30864198;US;March 11, 1993;24;Connecticut;true;29;369;54;11;9;161
Karima Christmas-Kelly;DAL;G/F;183;82;24.48565201;US;November 9, 1989;27;Duke;true;14;142;14;6;1;65
Kayla Alexander;SAN;C;193;88;23.6247953;CA;May 1, 1991;26;Arizona State;true;30;889;120;65;39;318
Kayla McBride;SAN;G/F;180;79;24.38271605;US;June 25, 1992;25;Notre Dame;true;31;433;87;17;13;171
Kayla Pedersen;CON;F;193;86;23.08786813;US;April 14, 1989;28;Stanford;false;27;882;105;59;32;411
Kayla Thornton;DAL;F;185;86;25.12783053;US;October 20, 1992;24;Texas?El Paso;false;21;224;45;13;6;32
Keisha Hampton;CHI;F;185;78;22.79035793;US;February 22, 1990;27;DePaul;false;30;504;95;24;20;207
Kelsey Plum;SAN;G;173;66;22.05219018;US;August 24, 1994;23;Washington;true;28;610;53;91;13;225
Kia Vaughn;NY;C;193;90;24.16172246;US;January 24, 1987;30;Rutgers;false;23;455;110;16;8;134
Kiah Stokes;NY;C;191;87;23.84803048;US;March 30, 1993;24;Connecticut;true;29;576;185;21;8;141
Kristi Toliver;WAS;G;170;59;20.41522491;US;January 27, 1987;30;Maryland;false;29;845;59;91;20;349
Krystal Thomas;WAS;C;196;88;22.90712203;US;October 6, 1989;27;Duke;false;29;737;269;30;15;199
Lanay Montgomery;SEA;C;196;96;24.98958767;US;September 17, 1993;23;West Virginia;true;7;28;5;0;1;6
Layshia Clarendon;ATL;G;175;64;20.89795918;US;February 5, 1991;26;UC Berkeley;false;30;900;115;206;29;329
Leilani Mitchell;PHO;G;165;58;21.30394858;US;June 15, 1985;32;Utah;true;30;623;69;108;26;233
Lindsay Allen;NY;G;173;65;21.71806609;US;March 20, 1995;22;Notre Dame;false;23;314;36;47;13;48
Lindsay Whalen;MIN;G;175;78;25.46938776;US;September 5, 1982;34;Minnesota;false;22;520;54;90;11;177
Lynetta Kizer;CON;C;193;104;27.92021262;US;April 4, 1990;27;Maryland;false;20;238;57;6;11;119
Maimouna Diarra;LA;C;198;90;22.95684114;SN;January 30, 1991;26;Sengal;true;9;16;7;1;1;3
Makayla Epps;CHI;G;178;;0;US;June 6, 1995;22;Kentucky;false;14;52;2;4;1;6
Marissa Coleman;IND;G/F;185;73;21.32943755;US;April 1, 1987;30;Maryland;true;30;539;60;25;8;154
Matee Ajavon;ATL;G;173;73;24.39105884;US;July 5, 1986;31;Syracruse;true;27;218;34;27;10;73
Maya Moore;MIN;F;183;80;23.88844098;US;November 6, 1989;27;Connecticut;false;29;904;156;99;53;490
Monique Currie;PHO;G/F;183;80;23.88844098;US;February 25, 1983;34;Duke;false;32;717;122;67;22;364
Morgan Tuck;CON;F;188;91;25.74694432;US;April 30, 1994;23;Connecticut;false;17;294;43;19;7;91
Moriah Jefferson;SAN;G;168;55;19.48696145;US;August 3, 1994;23;Connecticut;false;21;514;37;92;33;191
Natalie Achonwa;IND;C;193;83;22.28247738;CA;November 22, 1992;24;Notre Dame;false;30;529;101;21;11;207
Natasha Cloud;WAS;G;183;73;21.79820239;US;February 22, 1992;25;Saint Joseph's;true;24;448;59;69;17;106
Natasha Howard;MIN;F;188;75;21.22000905;US;February 9, 1991;26;Florida State;true;29;315;63;16;11;116
Nayo Raincock-Ekunwe;NY;F/C;188;79;22.35174287;CA;August 29, 1991;25;Simon Fraser;false;27;243;46;8;2;96
Nia Coffey;SAN;F;185;77;22.49817385;US;May 21, 1995;22;Northwestern;false;25;203;46;6;5;48
Nneka Ogwumike;LA;F;188;79;22.35174287;US;February 7, 1990;27;Stanford;false;30;948;236;63;53;577
Noelle Quinn;SEA;G;183;81;24.18704649;US;March 1, 1985;32;UCLA;true;29;459;49;78;12;79
Odyssey Sims;LA;G;173;73;24.39105884;US;July 13, 1992;25;Baylor;true;27;626;44;87;38;230
Plenette Pierson;MIN;F/C;188;88;24.89814396;US;August 31, 1981;35;Texas Tech;false;29;402;62;48;12;140
Rachel Banham;CON;G;175;76;24.81632653;US;July 15, 1993;24;Minnesota;true;26;238;29;20;4;96
Ramu Tokashiki;SEA;F;193;80;21.47708663;JP;November 6, 1991;25;Japan;false;29;378;48;16;8;106
Rebecca Allen;NY;G/F;188;74;20.9370756;AU;June 11, 1992;25;Australia;true;28;254;64;15;9;78
Rebekkah Brunson;MIN;F;188;84;23.76641014;US;November 12, 1981;35;Georgetown;false;26;719;181;40;31;278
Renee Montgomery;MIN;G;170;63;21.79930796;US;February 12, 1986;31;Connecticut;true;29;614;46;96;24;216
Riquna Williams;LA;G;170;75;25.95155709;US;May 28, 1990;27;Miami (FL);false;23;408;32;16;19;148
Sami Whitcomb;SEA;G;178;66;20.83070319;US;July 20, 1988;29;Washington;true;29;354;52;24;22;139
Sancho Lyttle;ATL;F;193;79;21.20862305;ES;September 20, 1983;33;Houston;false;25;703;180;41;40;156
Sandrine Gruda;LA;F/C;193;84;22.55094096;FR;June 25, 1987;30;France;true;4;12;2;0;0;2
Saniya Chong;DAL;G;173;64;21.383942;US;June 27, 1994;23;Connecticut;false;29;348;28;33;21;87
Seimone Augustus;MIN;G/F;183;77;22.99262444;US;April 30, 1984;33;LSU;true;27;756;82;108;17;298
Sequoia Holmes;SAN;G;185;70;20.45288532;US;June 13, 1986;31;UNLV;false;24;280;24;23;13;81
Shatori Walker-Kimbrough;WAS;G;180;64;19.75308642;US;May 18, 1995;22;Maryland;true;22;260;17;10;11;96
Shavonte Zellous;NY;G;178;85;26.82742078;US;August 28, 1986;30;Pittsburgh;false;29;865;122;87;23;346
Shay Murphy;SAN;G;180;74;22.83950617;US;April 15, 1985;32;Southern California;true;23;242;38;17;10;66
Shekinna Stricklen;CON;G/F;188;81;22.91760978;US;July 30, 1990;27;Tennessee;true;29;795;86;30;36;245
Shenise Johnson;IND;G;180;78;24.07407407;US;September 12, 1990;26;Miami (FL);false;14;348;48;35;21;158
Skylar Diggins-Smith;DAL;G;175;66;21.55102041;US;February 8, 1990;27;Notre Dame;true;30;1018;107;173;38;545
Stefanie Dolson;CHI;C;196;97;25.24989588;US;August 1, 1992;25;Connecticut;true;28;823;156;65;14;398
Stephanie Talbot;PHO;G;185;87;25.42001461;AU;December 20, 1990;26;Australia;false;30;555;86;50;22;138
Sue Bird;SEA;G;175;68;22.20408163;US;October 16, 1980;36;Connecticut;true;27;806;53;177;31;273
Sugar Rodgers;NY;G;175;75;24.48979592;US;August 12, 1989;28;Georgetown;false;28;745;106;68;28;317
Sydney Colson;SAN;G;173;64;21.383942;US;June 8, 1989;28;Texas A&M;true;25;296;14;51;13;72
Sydney Wiese;LA;G;183;68;20.30517483;US;July 13, 1992;25;Oregon State;false;25;189;21;6;4;55
Sylvia Fowles;MIN;C;198;96;24.48729721;US;June 10, 1985;32;LSU;true;29;895;297;39;39;572
Tamera Young;ATL;G/F;188;77;21.78587596;US;October 30, 1986;30;Tennessee;true;31;820;110;66;36;277
Tayler Hill;WAS;G;175;66;21.55102041;US;October 23, 1990;26;Ohio State;true;18;462;34;47;16;240
Temi Fagbenle;MIN;C;193;89;23.89325888;UK;August 9, 1992;25;Southern California;true;17;74;16;1;3;17
Theresa Plaisance;DAL;F;196;91;23.68804665;US;May 18, 1992;25;LSU;true;30;604;127;24;23;217
Tianna Hawkins;WAS;F;191;87;23.84803048;US;February 3, 1991;26;Maryland;false;29;483;124;9;15;210
Tierra Ruffin-Pratt;WAS;G;178;83;26.19618735;US;November 4, 1991;25;North Carolina;true;29;703;165;68;30;225
Tiffany Hayes;ATL;G;178;70;22.09317005;US;September 20, 1989;27;Connecticut;true;29;861;117;69;37;467
Tiffany Jackson;LA;F;191;84;23.0256846;US;April 26, 1985;32;Texas;false;22;127;23;3;1;28
Tiffany Mitchell;IND;G;175;69;22.53061224;US;September 23, 1984;32;South Carolina;true;27;671;86;39;31;277
Tina Charles;NY;F/C;193;84;22.55094096;US;May 12, 1988;29;Connecticut;true;29;952;268;75;21;582
Yvonne Turner;PHO;G;175;59;19.26530612;US;October 13, 1987;29;Nebraska;false;30;356;24;30;18;151
